,아이디,맥주이름,날짜,평점,Aroma,Appearance,Flavor,Mouthfeel,Overall
981,"GIJOE(1,269)",Budweiser,08-Jun-13,1.3,2,2,3,1,5
982,"Gorm(1,897)",Budweiser,19-Aug-13,1.8,2,3,3,2,8
983,"Yves(3,869)",Budweiser,03-Jun-13,2.8,6,3,6,3,10
984,Leepe_steven(205),Budweiser,03-Jun-13,2.1,2,3,4,3,9
985,kenzo66(2),Budweiser,02-Jun-13,0.5,1,1,1,1,1
986,"XaenDovet(1,281)",Budweiser,02-Jun-13,1.1,3,2,2,1,3
987,LeftCoastRider(110),Budweiser,02-Jun-13,1.9,4,1,3,3,8
988,"Mittenator(1,612)",Budweiser,31-May-13,1.9,4,2,4,3,6
989,"adamnase(1,437)",Budweiser,29-May-13,1.8,4,2,4,2,6
990,revolution2718(383),Budweiser,28-May-13,0.9,1,2,1,2,3
991,dexcansino(573),Budweiser,25-May-13,1,2,2,2,2,2
992,kaziopiwosz(905),Budweiser,23-May-13,0.9,2,1,2,1,3
993,xSentinelx(2),Budweiser,20-May-13,3.8,9,5,8,2,14
994,"Christpuncher(3,215)",Budweiser,16-May-13,2.6,5,3,5,3,10
995,"kaser(6,484)",Budweiser,16-May-13,2.4,6,2,4,3,9
996,R2k2(471),Budweiser,15-May-13,1.4,3,2,2,1,6
997,"Rob_D_UK(1,366)",Budweiser,15-May-13,1.9,3,2,5,2,7
998,"Ericular(1,048)",Budweiser,14-May-13,1.7,3,2,3,3,6
999,"Lagerboy(2,388)",Budweiser,08-May-13,1,1,2,3,1,3
1000,rspencley(1),Budweiser,06-May-13,5,10,5,10,5,20
1001,Cbuk1013(248),Budweiser,06-May-13,1.6,2,3,3,1,7
1002,"sonnycheeba(7,971)",Budweiser,05-May-13,0.7,1,2,1,1,2
1003,"snoworsummer(8,851)",Budweiser,05-May-13,2,4,2,4,2,8
1004,"stevoj(11,194)",Budweiser,16-Jun-13,2.2,4,3,4,2,9
1005,"drjay44(4,630)",Budweiser,30-Apr-13,1.7,3,3,3,3,5
1006,laurenannmcl(20),Budweiser,28-Apr-13,2,4,2,3,3,8
1007,"Jorn69(5,346)",Budweiser,27-Apr-13,0.5,1,1,1,1,1
1008,morgrett(20),Budweiser,26-Apr-13,3.8,6,4,8,4,16
1009,marylutton29(18),Budweiser,24-Apr-13,3,6,3,5,3,13
1010,megjlutton(20),Budweiser,24-Apr-13,2.6,3,4,5,3,11
1011,"zvikar(11,503)",Budweiser,17-Apr-13,1.4,3,2,3,1,5
1012,dfmorais(1),Budweiser,15-Apr-13,3.5,8,5,8,5,9
1013,Creedence(436),Budweiser,13-Apr-13,0.8,1,2,2,1,2
1014,"tampierre(1,486)",Budweiser,12-Apr-13,1,2,1,2,1,4
1015,vvesside(256),Budweiser,12-Apr-13,1.1,2,1,2,1,5
1016,BeerKurve(520),Budweiser,10-Apr-13,1.7,3,1,4,3,6
1017,"VastActiv(12,064)",Budweiser,09-Apr-13,1.5,3,2,3,2,5
1018,Stevesie(336),Budweiser,07-Apr-13,0.7,1,1,1,2,2
1019,"queenholly(3,623)",Budweiser,06-Apr-13,1,1,3,2,2,2
1020,rob6239(677),Budweiser,05-Apr-13,1.5,3,2,3,2,5
1021,smmaaren(588),Budweiser,31-Mar-13,2.2,4,3,4,3,8
1022,"tfredvik(2,548)",Budweiser,29-Mar-13,1.6,3,2,3,2,6
1023,dwm1034(811),Budweiser,29-Mar-13,1.2,2,2,2,2,4
1024,"geologyguy(2,301)",Budweiser,28-Mar-13,2.3,4,1,4,3,11
1025,"mnmike(1,087)",Budweiser,24-Mar-13,1,2,1,2,2,3
1026,Alextricity(509),Budweiser,20-Mar-13,2.2,5,3,5,2,7
1027,agent_persik(956),Budweiser,17-Mar-13,1.7,3,2,4,2,6
1028,"ration(2,500)",Budweiser,16-Mar-13,1.3,2,1,3,1,6
1029,"dcschiller(2,211)",Budweiser,15-Mar-13,2.2,4,3,3,4,8
1030,"The_Osprey(10,583)",Budweiser,06-Jul-15,3,4,4,5,4,13
1031,"Ed5388(3,488)",Budweiser,14-Mar-13,0.7,1,2,1,1,2
1032,"GoufCustom(3,015)",Budweiser,08-Mar-13,1.2,2,2,2,2,4
1033,"conway(2,210)",Budweiser,07-Mar-13,1.6,1,1,4,2,8
1034,"kerenmk(6,889)",Budweiser,06-Mar-13,1.9,5,2,5,2,5
1035,HopRedHead(397),Budweiser,05-Mar-13,0.5,1,1,1,1,1
1036,Tonybaldeagle(62),Budweiser,05-Mar-13,0.9,1,2,2,1,3
1037,"Lowenbrau(5,681)",Budweiser,19-May-14,1.1,2,2,2,2,3
1038,"tomer(5,421)",Budweiser,04-Mar-13,1.3,2,2,2,2,5
1039,Mulletreeve(18),Budweiser,04-Mar-13,0.5,1,1,1,1,1
1040,"StaffieBNT(1,105)",Budweiser,03-Mar-13,1.3,3,2,3,1,4
1041,TourDeBeer(123),Budweiser,01-Mar-13,1.7,3,1,4,2,7
1042,"lesifflebiere(1,926)",Budweiser,28-Feb-13,1.1,1,2,2,1,5
1043,"DSG(21,501)",Budweiser,28-Feb-13,1.8,3,2,4,2,7
1044,rainmaker2152(55),Budweiser,08-Jul-13,2.6,3,2,6,2,13
1045,JennyJam(47),Budweiser,26-Feb-13,0.8,1,3,1,1,2
1046,"olio(13,973)",Budweiser,25-Feb-13,1.6,3,2,2,2,7
1047,tbopslt(354),Budweiser,23-Feb-13,3.4,5,4,6,4,15
1048,jako123(2),Budweiser,22-Feb-13,3.4,6,3,7,3,15
1049,billtheman(92),Budweiser,21-Feb-13,0.5,1,1,1,1,1
1050,"ajnepple(12,690)",Budweiser,21-Feb-13,1.6,3,2,3,2,6
1051,lotsalaughs(177),Budweiser,18-Feb-13,1.1,2,2,1,3,3
1052,"Vells(2,359)",Budweiser,30-May-13,2.1,3,2,5,2,9
1053,"ruigo(3,079)",Budweiser,13-Feb-13,1.8,3,2,3,3,7
1054,CaliWill(19),Budweiser,11-Feb-13,0.9,1,5,1,1,1
1055,Jokine(51),Budweiser,08-Feb-13,1.7,3,2,4,1,7
1056,omega(899),Budweiser,08-Feb-13,1.3,3,2,2,2,4
1057,"Reynolds314(3,472)",Budweiser,06-Feb-13,2.4,3,3,5,3,10
1058,Mschuier(14),Budweiser,06-Feb-13,1.5,1,1,5,1,7
1059,Frothmeister(900),Budweiser,03-Feb-13,1.6,3,2,2,2,7
1060,"Leini(2,075)",Budweiser,03-Feb-13,1.6,4,1,4,1,6
1061,pappaushi(13),Budweiser,29-Jan-13,0.5,1,1,1,1,1
1062,Mothman454(4),Budweiser,28-Jan-13,1.3,2,2,3,2,4
1063,mtwalser(2),Budweiser,26-Jan-13,2.3,3,3,5,3,9
1064,SperkeleForce(791),Budweiser,25-Jan-13,1.1,2,2,3,2,2
1065,patxa(227),Budweiser,24-Jan-13,0.9,1,2,1,1,4
1066,HomeyTheClown(15),Budweiser,23-Jan-13,1.9,4,3,3,3,6
1067,novels(425),Budweiser,23-Jan-13,0.5,1,1,1,1,1
1068,"DCLawyer(3,007)",Budweiser,21-Jun-17,0.8,2,1,1,2,2
1069,slowcars4life(26),Budweiser,14-Jan-13,1,1,3,1,1,4
1070,"k0mpsa(3,785)",Budweiser,07-Jan-13,1.8,3,2,3,3,7
1071,"hackobock(4,073)",Budweiser,07-Jan-13,1.3,1,3,2,2,5
1072,AKThunder(170),Budweiser,07-Jan-13,1.6,5,3,2,3,3
1073,KiwiJonno(76),Budweiser,02-Jan-13,1.3,3,2,2,2,4
1074,"Theydon_Bois(31,349)",Budweiser,01-Jan-13,1.4,2,2,3,2,5
1075,"Sledutah(9,707)",Budweiser,01-Jan-13,2.5,5,3,5,2,10
1076,rangerred(989),Budweiser,31-Dec-12,2.3,2,3,4,2,12
1077,"zimbo(1,019)",Budweiser,29-Dec-12,1,1,1,1,1,6
1078,finn1918(241),Budweiser,28-Dec-12,1,1,1,2,3,3
1079,pras(602),Budweiser,28-Dec-12,0.5,1,1,1,1,1
1080,CKDRAFTROD(1),Budweiser,27-Dec-12,2.4,3,3,9,2,7
1081,theOptimator(386),Budweiser,25-Dec-12,2.4,3,4,3,4,10
1082,"DedicatedToFun(3,984)",Budweiser,30-Nov-14,0.8,2,1,2,1,2
1083,Garbageman(487),Budweiser,24-Dec-12,1.1,2,3,2,1,3
1084,StuffWine(215),Budweiser,24-Dec-12,1.8,3,2,3,2,8
1085,boobooi(28),Budweiser,24-Dec-12,2.4,5,3,5,2,9
1086,abernaki(5),Budweiser,23-Dec-12,0.7,1,1,1,1,3
1087,bobbyberbiglia(188),Budweiser,22-Dec-12,0.5,1,1,1,1,1
1088,"RichTheVillan(10,528)",Budweiser,19-Dec-12,1.3,3,2,2,2,4
1089,"ads135(6,741)",Budweiser,17-Dec-12,1,1,3,1,3,2
1090,Majin(256),Budweiser,15-Dec-12,1.7,2,2,6,2,5
1091,"BrewBoxer(2,752)",Budweiser,14-Dec-12,1.8,3,1,3,2,9
1092,Skeptikalklown(9),Budweiser,13-Dec-12,0.5,1,1,1,1,1
1093,"Gerbeer(5,627)",Budweiser,10-Dec-12,0.9,1,2,2,2,2
1094,"Bygers(1,187)",Budweiser,08-Dec-12,1.9,2,4,3,3,7
1095,"Reimer96(1,743)",Budweiser,08-Dec-12,0.5,1,1,1,1,1
1096,johnchabin(3),Budweiser,06-Dec-12,1.3,3,3,2,2,3
1097,jdobbs(411),Budweiser,06-Dec-12,0.9,2,1,2,2,2
1098,"Kita(3,442)",Budweiser,05-Dec-12,1.9,4,2,4,2,7
1099,hens(808),Budweiser,05-Dec-12,2.4,3,3,6,3,9
1100,"portableparty(2,398)",Budweiser,05-Dec-12,1.1,2,2,2,2,3
1101,l33l33(6),Budweiser,05-Dec-12,1.5,4,3,3,2,3
1102,LiMuBai(227),Budweiser,02-Dec-12,1,1,2,2,2,3
1103,"Yorker(3,808)",Budweiser,01-Dec-12,1.4,3,1,2,2,6
1104,"jonnyguns(1,196)",Budweiser,26-Nov-12,0.7,1,1,1,1,3
1105,Gorgosh(693),Budweiser,12-Jun-13,1.9,4,2,3,3,7
1106,Shanebrews(315),Budweiser,25-Nov-12,1.7,3,2,3,2,7
1107,"thanatosti(3,246)",Budweiser,23-Nov-12,2.1,4,2,6,2,7
1108,DandyLion(518),Budweiser,22-Nov-12,1.7,1,2,4,1,9
1109,"Christos(6,100)",Budweiser,19-Nov-12,2.4,4,3,5,2,10
1110,"Bamsen78(7,276)",Budweiser,20-Feb-13,1.8,4,4,3,1,6
1111,"Rrauth(1,196)",Budweiser,14-Nov-12,2,3,2,4,2,9
1112,"Niko100(3,191)",Budweiser,12-Nov-12,1.6,3,2,3,2,6
1113,Rodriguez(357),Budweiser,10-Nov-12,1.1,1,3,4,2,1
1114,"ken1(3,922)",Budweiser,07-Nov-12,1.6,3,2,3,2,6
1115,Augdraught1981(267),Budweiser,14-Apr-16,2.4,4,3,4,3,10
1116,dingol66(93),Budweiser,26-Aug-18,0.8,2,1,1,1,3
1117,beerjo(3),Budweiser,23-Oct-12,0.5,1,1,1,1,1
1118,ThisWangsChung(836),Budweiser,20-Oct-12,1.9,2,2,4,3,8
1119,"MaartenRF10(1,956)",Budweiser,19-Oct-12,2.3,3,3,5,2,10
1120,Cinctus(207),Budweiser,17-Oct-12,0.5,1,1,1,1,1
1121,buttslamify(52),Budweiser,15-Oct-12,0.5,1,1,1,1,1
1122,hlkanga(204),Budweiser,14-Oct-12,1.2,2,2,2,1,5
1123,"bpar73(1,544)",Budweiser,13-Nov-12,2.1,3,3,4,3,8
1124,"SimplySike(1,575)",Budweiser,10-Oct-12,0.8,2,1,2,1,2
1125,govtmulefan(14),Budweiser,10-Oct-12,2.1,2,2,4,2,11
1126,"Westmeister(2,127)",Budweiser,08-Oct-12,1.6,3,2,3,1,7
1127,"BMMillsy(1,788)",Budweiser,07-Oct-12,1.4,2,2,3,2,5
1128,"Cunningham(11,610)",Budweiser,07-Oct-12,1.5,3,2,2,2,6
1129,Sizzler80(501),Budweiser,05-Oct-12,1.1,2,1,2,1,5
1130,"AdamChandler(5,896)",Budweiser,03-Oct-12,0.7,1,1,1,1,3
1131,WallStirctly(74),Budweiser,03-Oct-12,0.5,1,1,1,1,1
1132,LED40(146),Budweiser,29-Sep-12,1.7,3,2,4,2,6
1133,bcastello(1),Budweiser,29-Sep-12,0.9,2,2,1,1,3
1134,oddaroma(139),Budweiser,28-Sep-12,1.6,3,2,4,2,5
1135,"SarkyNorthener(5,200)",Budweiser,26-Sep-12,1,2,2,2,1,3
1136,stumpyiliz(218),Budweiser,24-Sep-12,0.5,1,1,1,1,1
1137,Evangelion2014(13),Budweiser,23-Sep-12,0.7,2,1,2,1,1
1138,loku(58),Budweiser,22-Sep-12,1.8,6,2,2,2,6
1139,canes89(31),Budweiser,21-Sep-12,2.1,2,2,5,1,11
1140,"Chipalsa(1,310)",Budweiser,19-Sep-12,1.3,2,2,3,3,3
1141,BeerMan78(3),Budweiser,17-Sep-12,1.4,2,4,3,2,3
1142,PGHbeer77(571),Budweiser,16-Sep-12,1.4,1,2,4,3,4
1143,TyggaBrown(430),Budweiser,10-Sep-12,1,2,2,2,1,3
1144,"Cantabrian(1,207)",Budweiser,09-Sep-12,1.6,3,2,4,1,6
1145,"McTapps(8,068)",Budweiser,08-Sep-12,1.4,3,2,3,1,5
1146,"MichaelAwesome(7,163)",Budweiser,08-Sep-12,1.3,2,3,3,2,3
1147,"Thechasm442(1,006)",Budweiser,06-Sep-12,0.5,1,1,1,1,1
1148,"bytemesis(12,576)",Budweiser,06-Sep-12,1.4,2,2,3,2,5
1149,BlackEyePA(573),Budweiser,30-Aug-12,1.4,2,2,3,2,5
1150,"Dazz3(1,797)",Budweiser,28-Aug-12,1.7,4,2,4,1,6
1151,timc100(320),Budweiser,25-Aug-12,1.7,3,2,3,2,7
1152,"goozen(4,894)",Budweiser,24-Aug-12,2.6,4,3,5,3,11
1153,eds1275(1),Budweiser,24-Aug-12,4.6,6,5,10,5,20
1154,kitting(71),Budweiser,22-Aug-12,1.6,3,1,5,1,6
1155,andrewlol(63),Budweiser,21-Aug-12,0.8,1,2,2,1,2
1156,"TheHOFF43(2,045)",Budweiser,20-Aug-12,1.1,2,2,2,2,3
1157,shadymmj(7),Budweiser,20-Aug-12,2.1,2,4,5,2,8
1158,darioklc(934),Budweiser,17-Aug-12,2.2,5,3,4,3,7
1159,Tiger_08(138),Budweiser,21-Aug-12,2.6,5,3,5,3,10
1160,Brewticular(87),Budweiser,13-Aug-12,0.9,1,2,2,1,3
1161,"Caytinator(1,005)",Budweiser,12-Aug-12,1.3,2,2,2,3,4
1162,james_lipps(2),Budweiser,10-Aug-12,0.5,1,1,1,1,1
1163,railroad(5),Budweiser,09-Aug-12,1.8,2,4,2,2,8
1164,medallaisla(91),Budweiser,08-Aug-12,0.6,1,1,1,1,2
1165,skokott(42),Budweiser,08-Aug-12,1.2,2,2,2,1,5
1166,"Beerheart65(1,503)",Budweiser,06-Aug-12,1.6,4,2,4,2,4
1167,jaskesp(41),Budweiser,05-Aug-12,3.9,8,4,8,3,16
1168,"Patrickctenchi(7,259)",Budweiser,04-Aug-12,0.7,1,2,1,1,2
1169,Judes(29),Budweiser,03-Aug-12,3.4,5,3,6,4,16
1170,"TheHopster(1,111)",Budweiser,02-Aug-12,1.9,3,2,4,2,8
1171,harrystrill(95),Budweiser,31-Jul-12,0.5,1,1,1,1,1
1172,"jookos(8,422)",Budweiser,28-Jul-12,1.5,3,4,3,2,3
1173,Wanja(756),Budweiser,24-Jul-12,1.6,3,2,4,2,5
1174,bennet65(88),Budweiser,23-Jul-12,0.5,1,1,1,1,1
1175,foxo82(941),Budweiser,22-Jul-12,1.9,4,2,3,3,7
1176,Laguiar1979(3),Budweiser,22-Jul-12,2,4,2,3,3,8
1177,"cmonster(1,001)",Budweiser,22-Jul-12,0.6,1,1,1,1,2
1178,Deu(949),Budweiser,21-Jul-12,0.5,1,1,1,1,1
1179,"jmohno(1,835)",Budweiser,07-Jan-13,2.9,4,3,6,2,14
1180,tanstil(141),Budweiser,19-Jul-12,2.4,4,2,5,3,10
1181,drunkasfack(14),Budweiser,19-Jul-12,1.6,3,1,4,1,7
1182,174153(4),Budweiser,16-Jul-12,2.7,4,5,4,4,10
1183,Archibald89(42),Budweiser,12-Jul-12,0.9,2,1,1,2,3
1184,johnkie(9),Budweiser,10-Jul-12,3.4,7,4,6,3,14
1185,"Ernesto987(6,082)",Budweiser,06-Feb-13,2.6,4,2,5,3,12
1186,VincentL(287),Budweiser,09-Jul-12,1,3,1,2,2,2
1187,MustangMarkF(256),Budweiser,09-Jul-12,2.7,5,3,6,4,9
1188,"knickskicks(1,168)",Budweiser,08-Jul-12,0.7,1,1,2,1,2
1189,DavidRTurner(1),Budweiser,07-Jul-12,2.1,4,2,4,2,9
1190,taco8888(17),Budweiser,06-Jul-12,3.4,6,3,8,5,12
1191,"luttonm(7,593)",Budweiser,05-Jul-12,1.8,3,1,4,2,8
1192,cjpandya(3),Budweiser,03-Jul-12,1.8,1,3,2,2,10
1193,docagnt(8),Budweiser,02-Jul-12,3.5,6,3,8,3,15
1194,Mdreyer(2),Budweiser,01-Jul-12,4,6,4,9,5,16
1195,"coolpop(1,394)",Budweiser,01-Jul-12,1.2,2,1,2,2,5
1196,"radio_nowhere(1,474)",Budweiser,31-Oct-12,1.4,3,2,3,1,5
1197,Liter_O_Veeter(2),Budweiser,29-Jun-12,1,2,2,2,2,2
1198,noelM(167),Budweiser,28-Jun-12,1,2,1,3,1,3
1199,"Whatup14(3,399)",Budweiser,26-Jun-12,1.2,2,2,1,3,4
1200,"rok1024(1,416)",Budweiser,26-Jun-12,2.2,4,3,5,3,7
1201,IceHole(10),Budweiser,25-Jun-12,0.5,1,1,1,1,1
1202,Iceholecyn(12),Budweiser,25-Jun-12,0.5,1,1,1,1,1
1203,DrStrangelove(75),Budweiser,20-Jun-13,1.1,1,1,3,2,4
1204,jackfrost9p(338),Budweiser,23-Jun-12,2.1,3,2,4,2,10
1205,lwashbur(1),Budweiser,22-Jun-12,3.1,7,4,8,4,8
1206,Tomieh0(4),Budweiser,22-Jun-12,2.9,6,4,7,5,7
1207,beikes(178),Budweiser,21-Jun-12,0.7,1,2,1,1,2
1208,"finol(4,052)",Budweiser,20-Jun-12,1.8,3,2,3,3,7
1209,Weena(12),Budweiser,20-Jun-12,1.5,4,3,2,2,4
1210,BeerDeltaBravo(53),Budweiser,19-Jun-12,2.3,4,3,3,3,10
1211,danielbcjr(3),Budweiser,16-Jun-12,1.5,3,3,2,1,6
1212,dionisgro(2),Budweiser,16-Jun-12,0.8,1,3,2,1,1
1213,Fran(1),Budweiser,16-Jun-12,3.6,6,4,7,4,15
1214,davidmanhaesjr(4),Budweiser,16-Jun-12,2.8,7,3,7,4,7
1215,"JPDurden24(1,675)",Budweiser,15-Jun-12,0.6,1,1,2,1,1
1216,Stldsf1(616),Budweiser,14-Jun-12,1.9,3,4,4,2,6
1217,"deanso(13,868)",Budweiser,10-Jun-12,2,4,4,3,4,5
1218,"Kevnic2008(13,715)",Budweiser,09-Jun-12,1.4,3,1,2,2,6
1219,"GBZ59(1,217)",Budweiser,07-Jun-12,2.4,4,2,5,3,10
1220,VanDer1584(39),Budweiser,07-Jun-12,0.7,2,1,1,1,2
1221,"WheatKing(1,351)",Budweiser,06-Jun-12,2.4,5,2,5,3,9
1222,joshmcg000(388),Budweiser,05-Jun-12,1.5,1,3,3,2,6
1223,TheJackalope(30),Budweiser,05-Jun-12,0.7,1,2,1,1,2
1224,"Psytron(4,649)",Budweiser,01-Jun-12,2,4,3,4,2,7
1225,LKT1983(112),Budweiser,16-Oct-15,0.9,2,2,2,1,2
1226,jacque117(9),Budweiser,30-May-12,2.9,4,4,6,3,12
1227,"nazzty(1,531)",Budweiser,29-May-12,1.5,3,2,3,1,6
1228,fsquirrel29(92),Budweiser,28-May-12,1.5,1,2,3,1,8
1229,WeissGary(286),Budweiser,22-May-12,1.2,1,2,3,1,5
1230,"Idiosynkrasie(13,083)",Budweiser,21-May-12,1.1,2,3,2,1,3
1231,lawman834(268),Budweiser,19-May-12,2,3,2,4,3,8
1232,Chin0(54),Budweiser,18-May-12,1.6,3,2,2,3,6
1233,"Johnsense(2,223)",Budweiser,01-Jun-17,1.7,2,2,3,2,8
1234,EchoShine(44),Budweiser,15-May-12,1.5,2,3,2,2,6
1235,mouldboy(5),Budweiser,12-May-12,1.2,1,3,2,2,4
1236,"Tide(8,188)",Budweiser,07-May-12,1.5,4,2,3,1,5
1237,"kiwianer(4,070)",Budweiser,06-May-12,1,2,2,2,1,3
1238,"jbruner(8,372)",Budweiser,04-May-12,1.2,2,1,3,1,5
1239,"umich03jm(3,512)",Budweiser,03-May-12,1.2,2,3,2,2,3
1240,"Marduk(14,656)",Budweiser,01-May-12,1.9,3,2,5,2,7
1241,beermanusa(77),Budweiser,25-Apr-12,1.5,2,3,2,2,6
1242,indiojoe(10),Budweiser,24-Apr-12,0.5,1,1,1,1,1
1243,"Onenote81(1,002)",Budweiser,20-Apr-12,2.2,4,3,4,3,8
1244,"b3shine(11,160)",Budweiser,26-Sep-15,2.4,3,3,5,3,10
1245,Ramboa2500(1),Budweiser,19-Apr-12,5,10,5,10,5,20
1246,spkevin(448),Budweiser,18-Apr-12,2.2,4,2,4,2,10
1247,Gio82(11),Budweiser,18-Apr-12,0.7,1,1,1,1,3
1248,"vipinvelp(6,094)",Budweiser,15-Apr-12,1.9,5,1,4,2,7
1249,Bathory(456),Budweiser,02-May-12,0.5,1,1,1,1,1
1250,mrjohnson(45),Budweiser,13-Apr-12,1.7,2,3,2,2,8
1251,tommeagher(222),Budweiser,13-Apr-12,1,1,2,3,2,2
1252,deusax(457),Budweiser,09-Apr-12,1.2,2,1,3,2,4
1253,"Bricktop86(1,676)",Budweiser,23-Feb-13,1.3,1,1,3,1,7
1254,burgess1984(51),Budweiser,08-Apr-12,1.7,3,3,4,2,5
1255,aphelion1979(172),Budweiser,08-Apr-12,2,3,3,4,3,7
1256,"Hophead22(2,879)",Budweiser,06-Apr-12,1.5,2,2,2,3,6
1257,Zaphod13(41),Budweiser,04-Apr-12,1.2,2,2,2,2,4
1258,"The_Bish(1,118)",Budweiser,01-Apr-12,1.1,2,2,2,1,4
1259,steindds(70),Budweiser,27-Mar-12,1.8,3,3,3,3,6
1260,"maxwelldeux(4,373)",Budweiser,25-Mar-12,0.6,1,2,1,1,1
1261,"olsvammel(8,049)",Budweiser,24-Mar-12,0.5,1,1,1,1,1
1262,kenjohn(88),Budweiser,23-Mar-12,1.2,2,3,2,2,3
1263,"JorgeLee(2,925)",Budweiser,23-Mar-12,0.9,2,1,2,1,3
1264,Argonian(280),Budweiser,23-Mar-12,1.5,2,3,3,1,6
1265,"60minuteman(1,764)",Budweiser,21-Mar-12,1.2,2,2,2,1,5
1266,toby00777(135),Budweiser,19-Mar-12,1.4,2,3,2,2,5
1267,GTCruiser01(105),Budweiser,17-Mar-12,1.4,2,3,2,2,5
1268,"UDBeernut(2,883)",Budweiser,14-Mar-12,1.8,4,1,3,2,8
1269,kenko(85),Budweiser,12-Mar-12,1.6,3,3,2,2,6
1270,"ansjelaah(1,747)",Budweiser,11-Mar-12,2.8,6,3,6,3,10
1271,3bombandit(3),Budweiser,10-Mar-12,2.9,8,1,5,5,10
1272,Padilha(91),Budweiser,02-Mar-12,1.8,4,2,3,2,7
1273,dalfaro86(309),Budweiser,02-Mar-12,1.4,4,2,3,1,4
1274,"r464(2,764)",Budweiser,28-Feb-12,1.4,3,2,3,2,4
1275,anonymousman(14),Budweiser,27-Feb-12,1.2,2,2,1,1,6
1276,joshj2176(103),Budweiser,26-Feb-12,1.7,2,3,4,2,6
1277,SabreSkull(56),Budweiser,02-Apr-13,1.2,2,2,3,1,4
1278,tone77(256),Budweiser,20-Feb-12,2.6,7,2,5,3,9
1279,Lithp(37),Budweiser,19-Feb-12,1.8,2,2,2,3,9
1280,"Metalchopz(5,420)",Budweiser,16-Feb-12,1.4,4,1,3,1,5
1281,wallythehick(3),Budweiser,13-Feb-12,4.3,6,5,7,5,20
1282,"kryon(4,719)",Budweiser,08-Feb-12,1.1,1,2,3,1,4
1283,"jmagnus87(2,903)",Budweiser,08-Feb-12,1.1,2,1,2,1,5
1284,"Grzesiek79(6,146)",Budweiser,09-May-20,1.4,2,2,3,1,6
1285,ddibella84(32),Budweiser,07-Feb-12,0.9,2,2,2,1,2
1286,"reebtogi(6,488)",Budweiser,07-Feb-12,2.2,4,2,4,2,10
1287,"mike67(1,682)",Budweiser,08-Feb-12,0.9,1,2,2,2,2
1288,retinadoc(345),Budweiser,05-Feb-12,1.4,3,2,3,2,4
1289,mcmisko(357),Budweiser,22-Feb-12,0.5,1,1,1,1,1
1290,"oRos(1,687)",Budweiser,31-Jan-12,0.7,1,1,2,2,1
1291,"KingCecil(2,117)",Budweiser,30-Jan-12,1.3,3,3,3,1,3
1292,rygjones(4),Budweiser,30-Jan-12,0.5,1,1,1,1,1
1293,spittle8(145),Budweiser,28-Jan-12,0.7,1,1,2,1,2
1294,Garamond(1),Budweiser,26-Jan-12,5,10,5,10,5,20
1295,313hooligan(11),Budweiser,25-Jan-12,0.5,1,1,1,1,1
1296,JHunter(676),Budweiser,24-Jan-12,1,2,2,2,2,2
1297,"DavoleBomb(1,867)",Budweiser,21-Jan-12,1.2,3,3,1,3,2
1298,"MacBoost(2,073)",Budweiser,21-Jan-12,0.9,2,1,2,1,3
1299,Straling(363),Budweiser,18-Jan-12,2.2,4,3,4,2,9
1300,"dfinney23(3,424)",Budweiser,18-Jan-12,1.4,3,2,3,2,4
1301,"ManVsBeer(15,884)",Budweiser,18-Jan-12,1.7,3,3,3,2,6
1302,johnny123(24),Budweiser,17-Jan-12,3.4,6,5,7,3,13
1303,Saurononline(136),Budweiser,16-Jan-12,2.8,6,3,4,3,12
1304,"Art(3,223)",Budweiser,15-Jan-12,1.9,4,2,4,3,6
1305,"edgallow(5,016)",Budweiser,12-Feb-12,1.6,4,2,3,2,5
1306,"kschep(1,707)",Budweiser,11-Jan-12,2.1,6,2,6,2,5
1307,phishhheads(14),Budweiser,10-Jan-12,1.5,3,3,3,3,3
1308,"anon84892(3,284)",Budweiser,05-Jan-12,2.2,4,3,4,3,8
1309,JCook3123(3),Budweiser,05-Jan-12,2.3,3,3,4,2,11
1310,BoydJustitz(58),Budweiser,04-Jan-12,0.6,1,2,1,1,1
1311,hyperty007(1),Budweiser,04-Jan-12,2.9,2,3,7,2,15
1312,"kingstoni(2,902)",Budweiser,03-Jan-12,1.1,2,2,2,2,3
1313,"TheCametron(2,475)",Budweiser,31-Dec-11,1.5,3,2,4,1,5
1314,"Sevenlee(1,845)",Budweiser,26-Dec-11,0.9,2,2,1,2,2
1315,Dragonfly1(500),Budweiser,24-Dec-11,1.4,1,2,3,3,5
1316,"JaKeAFC(1,767)",Budweiser,18-Dec-11,1.5,2,2,2,3,6
1317,masterful16(8),Budweiser,17-Dec-11,1.4,3,2,2,3,4
1318,dief123(6),Budweiser,14-Dec-11,2,4,4,5,2,5
1319,"JoeTheYounger(1,183)",Budweiser,14-Dec-11,1.4,2,1,3,3,5
1320,"User134089(1,644)",Budweiser,09-Dec-11,2.2,4,1,6,3,8
1321,"Chudwick(4,458)",Budweiser,04-Dec-11,1.8,3,2,3,2,8
1322,"cards04(3,161)",Budweiser,30-Nov-11,1.9,2,2,4,3,8
1323,Frenger(367),Budweiser,21-Nov-11,1.3,2,2,3,2,4
1324,AlexGR(167),Budweiser,21-Nov-11,3.1,4,3,8,4,12
1325,Chiswick(159),Budweiser,21-Nov-11,1.4,2,1,2,2,7
1326,"VT(2,524)",Budweiser,20-Nov-11,1.6,4,3,3,3,3
