,아이디,맥주이름,날짜,평점,Aroma,Appearance,Flavor,Mouthfeel,Overall
689,"Gusler(2,653)",Edelweiss Weissbier Hefetrüb,26-Jul-02,3.3,7,3,7,3,13
691,shintriad(701),Edelweiss Weissbier Hefetrüb,07-Jul-05,3.4,6,4,7,3,14
692,"Oakes(25,640)",Edelweiss Weissbier Hefetrüb,30-Jun-02,2.9,6,4,5,2,12
693,"JPDIPSO(6,608)",Edelweiss Weissbier Hefetrüb,26-Jun-02,3.6,8,3,7,3,15
694,"DougShoemaker(3,146)",Edelweiss Weissbier Hefetrüb,23-Jun-02,3.9,7,4,8,4,16
695,"BeerLimey(2,277)",Edelweiss Weissbier Hefetrüb,18-Jun-02,3.8,8,3,8,3,16
698,"Ernest(8,888)",Edelweiss Weissbier Hefetrüb,18-Dec-06,3.4,7,3,7,3,14
699,"motelpogo(7,698)",Edelweiss Weissbier Hefetrüb,29-Mar-02,2.9,6,3,6,3,11
700,"igneous1(1,556)",Edelweiss Weissbier Hefetrüb,17-Mar-02,3.7,8,4,7,3,15
702,40oz(181),Edelweiss Weissbier Hefetrüb,13-Mar-02,3.5,7,3,7,3,15
706,"eczematic(1,332)",Edelweiss Weissbier Hefetrüb,22-Dec-01,3.3,7,3,6,4,13
708,"duff(5,045)",Edelweiss Weissbier Hefetrüb,17-Jan-03,3.4,7,4,6,3,14
709,K-V-F-L(291),Edelweiss Weissbier Hefetrüb,17-Oct-01,3.8,7,4,8,4,15
710,jayme9874(756),Edelweiss Weissbier Hefetrüb,01-Oct-01,4.3,9,4,8,4,18
712,Delbomber(387),Edelweiss Weissbier Hefetrüb,31-Aug-01,3.2,6,4,5,4,13
713,fishman(350),Edelweiss Weissbier Hefetrüb,31-Aug-01,3.5,7,4,6,3,15
716,"Bov(14,984)",Edelweiss Weissbier Hefetrüb,12-May-01,4.0,8,5,7,4,16
2,"vladeath(2,183)",Somersby Apple Cider,11-Sep-20,2.1,4,2,4,1,10
3,"Raistlin(1,475)",Somersby Apple Cider,14-Jul-20,1.6,2,3,3,2,6
4,"kolemkoukolem(2,319)",Somersby Apple Cider,18-Mar-20,1.3,2,3,2,1,5
5,"SHIG(8,817)",Somersby Apple Cider,20-Jan-20,3.2,6,3,7,3,13
7,lithilorn(492),Somersby Apple Cider,23-Dec-19,2.5,5,2,5,3,10
9,"Cuso(12,831)",Somersby Apple Cider,05-Nov-19,2.8,6,3,6,3,10
10,PintjeFritz(712),Somersby Apple Cider,18-Oct-19,1.8,3,4,3,2,6
11,"rami_pl(11,431)",Somersby Apple Cider,01-Oct-19,1.0,1,2,2,2,3
13,"FireGlider(1,270)",Somersby Apple Cider,25-Jul-19,1.8,4,1,3,2,8
15,"TomHendriksen(4,501)",Somersby Apple Cider,12-Jun-19,3.2,6,3,7,3,13
17,"efeesse(1,209)",Somersby Apple Cider,25-Mar-19,2.5,6,3,6,3,7
18,"Drake(18,176)",Somersby Apple Cider,19-Mar-19,3.0,6,3,6,3,12
20,"AWS9(1,080)",Somersby Apple Cider,09-Feb-19,2.3,5,2,4,3,9
24,"MasDen(1,367)",Somersby Apple Cider,29-Oct-18,2.7,5,4,6,4,8
26,"bilcho1(1,442)",Somersby Apple Cider,29-Sep-18,2.3,4,2,6,2,9
28,futre7(342),Somersby Apple Cider,13-Sep-18,2.0,3,2,2,2,11
29,"alex_leit(12,022)",Somersby Apple Cider,26-Aug-18,1.9,3,3,3,3,7
30,"danlo(7,350)",Somersby Apple Cider,26-Aug-18,2.4,4,3,4,3,10
31,"Calisky(4,495)",Somersby Apple Cider,25-Aug-18,1.6,2,3,3,2,6
32,as1999(407),Somersby Apple Cider,16-Aug-18,2.8,4,1,7,3,13
33,"drmet(1,451)",Somersby Apple Cider,11-Aug-18,2.6,6,3,5,2,10
34,"martin00sr(8,416)",Somersby Apple Cider,08-Jul-18,2.8,6,3,6,3,10
35,"ManVsBeer(15,884)",Somersby Apple Cider,20-Jun-18,1.9,4,4,3,3,5
36,"Fisler(1,984)",Somersby Apple Cider,17-Jun-18,2.0,4,3,5,2,6
37,"nathanvc(3,596)",Somersby Apple Cider,19-May-18,1.3,2,1,3,2,5
40,GreenCat(523),Somersby Apple Cider,07-Apr-18,1.4,4,2,3,2,3
42,BojanM(313),Somersby Apple Cider,29-Mar-18,1.3,3,1,3,1,5
44,"z87(2,777)",Somersby Apple Cider,17-Mar-18,2.4,5,3,4,3,9
47,"cmacklin(2,843)",Somersby Apple Cider,09-Feb-18,2.2,5,1,5,2,9
50,kdd230(107),Somersby Apple Cider,08-Oct-17,2.4,5,3,4,3,9
51,massingasetta(967),Somersby Apple Cider,25-Sep-17,3.8,7,4,8,4,15
52,"Holmen1(10,598)",Somersby Apple Cider,03-Sep-17,2.5,5,3,5,2,10
53,"Holmen2(6,933)",Somersby Apple Cider,03-Sep-17,2.6,5,3,5,3,10
57,"gnoff(11,277)",Somersby Apple Cider,24-Jul-17,1.4,2,3,2,3,4
59,"alexsdad06(16,109)",Somersby Apple Cider,10-Jul-17,2.8,7,2,5,2,12
60,"Tmoney99(18,711)",Somersby Apple Cider,08-Jul-17,2.5,4,3,4,3,11
61,"kryon(4,719)",Somersby Apple Cider,07-Jul-17,2.7,5,2,6,3,11
62,"weihenweizen(6,126)",Somersby Apple Cider,06-Jul-17,3.6,8,3,7,3,15
67,"Rubin77(6,675)",Somersby Apple Cider,17-Apr-17,2.2,5,2,5,2,8
68,"azzurro(1,764)",Somersby Apple Cider,12-Apr-17,3.6,8,3,7,3,15
69,"Zlotta(7,216)",Somersby Apple Cider,25-Mar-17,2.5,5,2,5,3,10
70,"vipinvelp(6,094)",Somersby Apple Cider,15-Mar-17,2.3,5,2,5,2,9
71,"Ritzn(3,777)",Somersby Apple Cider,06-Mar-17,2.4,6,3,4,3,8
72,"rikstar(2,604)",Somersby Apple Cider,25-Feb-17,0.8,2,1,2,1,2
74,"deanso(13,868)",Somersby Apple Cider,10-Feb-17,2.2,4,3,4,3,8
77,hvn(531),Somersby Apple Cider,02-Jan-17,2.7,6,2,6,3,10
78,PlasticSoul(181),Somersby Apple Cider,29-Dec-16,1.6,3,2,3,2,6
79,jzi(314),Somersby Apple Cider,25-Dec-16,1.9,4,2,4,2,7
80,Tjomleif(312),Somersby Apple Cider,04-Dec-16,1.5,2,3,2,3,5
81,"maekchu(5,196)",Somersby Apple Cider,25-Nov-16,2.0,4,2,4,2,8
82,"Mister_Li(2,639)",Somersby Apple Cider,07-Nov-16,2.2,3,3,4,4,8
83,"ChadPolenz(1,847)",Somersby Apple Cider,02-Nov-16,3.1,7,3,6,3,12
85,"MetalMurphy(1,419)",Somersby Apple Cider,07-Dec-17,2.0,4,2,4,2,8
86,"MatiF96(1,137)",Somersby Apple Cider,24-Feb-19,2.3,4,2,5,2,10
87,Woc(166),Somersby Apple Cider,12-Sep-16,2.0,5,3,3,3,6
88,"bu11zeye(13,702)",Somersby Apple Cider,17-Aug-16,2.7,5,3,5,3,11
90,"FinnIckler(1,431)",Somersby Apple Cider,23-Aug-16,1.2,1,3,2,1,5
91,"DoctorHU(1,641)",Somersby Apple Cider,27-Jul-16,2.4,5,2,5,2,10
93,"sjogro(9,251)",Somersby Apple Cider,11-Jun-16,2.7,5,3,6,3,10
95,"MonsterMagnet(1,952)",Somersby Apple Cider,29-May-16,2.3,4,3,5,3,8
96,"kto(2,973)",Somersby Apple Cider,02-Aug-20,2.2,5,3,4,2,8
97,"17wojownik(1,351)",Somersby Apple Cider,29-Jan-18,2.4,5,3,5,1,10
98,"mkel07(9,170)",Somersby Apple Cider,02-May-16,2.4,5,2,5,2,10
99,"hrabren(4,843)",Somersby Apple Cider,22-Apr-16,1.0,3,1,2,1,3
103,"GuideDogSaint(2,617)",Somersby Apple Cider,12-Mar-16,1.3,3,1,2,2,5
105,MrGrigg182(497),Somersby Apple Cider,27-Feb-16,2.1,5,2,5,2,7
107,"creppyiceman(3,498)",Somersby Apple Cider,05-Feb-16,1.6,2,3,3,2,6
108,daydesiang(117),Somersby Apple Cider,27-Jan-16,1.2,2,3,2,2,3
110,Hamirubi(635),Somersby Apple Cider,04-Jan-16,3.1,7,3,7,2,12
111,"Erzengel(13,338)",Somersby Apple Cider,03-Jan-16,2.1,4,4,4,4,5
112,16erBlech(561),Somersby Apple Cider,29-Aug-15,3.0,7,3,7,3,10
113,"Nejhleader(1,574)",Somersby Apple Cider,26-Aug-15,3.0,4,3,6,3,14
115,"colui72(3,023)",Somersby Apple Cider,05-Jul-15,2.2,3,2,6,2,9
116,Vincent68(683),Somersby Apple Cider,01-Jul-15,2.3,7,2,4,2,8
117,Lebo88(221),Somersby Apple Cider,31-May-15,2.5,5,3,5,2,10
118,"DutchDrebus(6,999)",Somersby Apple Cider,15-Apr-15,2.7,6,3,6,3,9
122,"tomer(5,421)",Somersby Apple Cider,28-Jan-15,2.8,6,2,6,3,11
123,"markoijelena(4,419)",Somersby Apple Cider,18-Jan-15,2.8,6,3,6,3,10
125,"Piw(2,051)",Somersby Apple Cider,09-Jan-15,2.0,3,2,4,3,8
126,"motelpogo(7,698)",Somersby Apple Cider,25-Dec-14,1.9,4,2,4,2,7
127,"WillemsUrenkel(3,640)",Somersby Apple Cider,24-Dec-14,2.1,5,2,4,2,8
128,"Travlr(30,303)",Somersby Apple Cider,23-Dec-14,1.1,3,2,2,2,2
129,"zvsn(5,939)",Somersby Apple Cider,15-Dec-14,2.0,4,2,4,2,8
130,"rayaron(5,098)",Somersby Apple Cider,14-Dec-14,1.8,4,2,3,3,6
131,"sebletitje(11,868)",Somersby Apple Cider,13-Dec-14,2.1,5,2,5,2,7
133,"JorisPPattyn(12,251)",Somersby Apple Cider,17-Nov-14,3.0,6,4,6,3,11
134,"Rob_D_UK(1,366)",Somersby Apple Cider,02-Nov-14,2.3,5,2,5,2,9
135,Sten(799),Somersby Apple Cider,25-Oct-14,2.3,4,3,5,2,9
136,"bhensonb(19,729)",Somersby Apple Cider,08-Oct-14,2.0,4,3,3,2,8
137,Astaldo(166),Somersby Apple Cider,01-Oct-14,1.8,3,2,3,2,8
138,"Ngejo(1,000)",Somersby Apple Cider,06-Sep-14,3.2,6,3,7,3,13
139,"mikske79(1,967)",Somersby Apple Cider,01-Sep-14,3.5,9,2,7,2,15
140,"artyom(1,557)",Somersby Apple Cider,26-Aug-14,1.6,4,2,3,2,5
141,"Jimthechap(2,057)",Somersby Apple Cider,26-Aug-14,1.9,4,3,4,1,7
143,"ha1ag(1,067)",Somersby Apple Cider,17-Aug-14,1.7,3,1,4,2,7
145,"Hrc_Cro(1,053)",Somersby Apple Cider,13-Jun-15,2.7,6,2,5,3,11
146,"Aurelius(6,609)",Somersby Apple Cider,02-Aug-14,2.8,5,2,6,3,12
147,"MichaelAwesome(7,163)",Somersby Apple Cider,29-Jul-14,1.6,3,3,3,2,5
148,"McTapps(8,068)",Somersby Apple Cider,28-Jul-14,1.8,3,3,5,1,6
150,"OllieBBommel(1,529)",Somersby Apple Cider,14-Jul-14,2.2,6,2,5,2,7
151,"gopherfan99(2,001)",Somersby Apple Cider,30-Jun-14,2.0,4,2,4,2,8
152,"czar(12,954)",Somersby Apple Cider,16-Jun-14,1.6,3,2,3,2,6
153,"veceo(1,361)",Somersby Apple Cider,14-Jun-14,1.6,4,1,3,3,5
154,"Gorm(1,897)",Somersby Apple Cider,21-May-14,1.9,4,2,4,2,7
155,"Vaiz(4,459)",Somersby Apple Cider,18-May-14,2.3,5,2,4,3,9
156,"cfrancis(4,569)",Somersby Apple Cider,06-May-14,3.0,6,3,6,3,12
157,"skortila(6,537)",Somersby Apple Cider,17-Apr-14,2.0,5,2,4,2,7
159,"markextrae(4,791)",Somersby Apple Cider,12-Apr-14,2.3,5,2,4,2,10
161,"MisoW(5,406)",Somersby Apple Cider,18-Mar-14,2.4,5,2,4,2,11
162,"unclemattie(4,357)",Somersby Apple Cider,18-Mar-14,2.3,5,2,5,1,10
163,"GoufCustom(3,015)",Somersby Apple Cider,12-Mar-14,0.8,2,2,1,1,2
165,swiseman(638),Somersby Apple Cider,10-Mar-14,1.8,3,3,4,2,6
166,"DJoer(1,291)",Somersby Apple Cider,26-Feb-14,2.5,6,3,5,3,8
167,"wlajwl(10,265)",Somersby Apple Cider,25-Feb-14,2.4,5,2,5,2,10
168,"lb4lb(2,655)",Somersby Apple Cider,06-Jan-14,3.6,8,2,8,3,15
170,spkevin(448),Somersby Apple Cider,22-Dec-13,1.7,3,2,2,2,8
172,Cinctus(207),Somersby Apple Cider,13-Dec-13,1.0,2,2,2,1,3
173,"ruigo(3,079)",Somersby Apple Cider,21-Nov-13,2.4,6,2,6,2,8
175,Pijiuke(93),Somersby Apple Cider,28-Oct-13,2.0,4,4,4,4,4
176,"WheatKing(1,351)",Somersby Apple Cider,04-Oct-13,1.0,2,2,2,1,3
177,"Dervock(1,634)",Somersby Apple Cider,30-Sep-13,2.4,6,2,5,2,9
178,tanstil(141),Somersby Apple Cider,28-Sep-13,3.6,7,3,7,4,15
180,Argonian(280),Somersby Apple Cider,15-Sep-13,3.1,5,1,8,2,15
182,"nilsas(7,000)",Somersby Apple Cider,15-Aug-13,2.4,5,4,5,3,7
183,"77ships(14,200)",Somersby Apple Cider,12-Aug-13,3.1,7,4,6,3,11
184,"Gurthnar(9,389)",Somersby Apple Cider,11-Aug-13,2.3,5,3,4,2,9
188,"ShivanDragon(6,884)",Somersby Apple Cider,18-Jun-17,2.6,6,3,5,3,9
190,"FatPhil(21,860)",Somersby Apple Cider,20-Jul-13,1.6,4,1,3,1,7
191,"JoeMcPhee(11,424)",Somersby Apple Cider,12-Jul-13,1.3,4,1,3,1,4
192,"Ughsmash(7,502)",Somersby Apple Cider,06-Jul-13,3.2,7,2,6,4,13
193,graziano85(698),Somersby Apple Cider,03-Jul-13,2.3,5,2,6,2,8
194,"kraddel(10,779)",Somersby Apple Cider,18-Jun-13,2.9,5,3,5,3,13
195,"JefVerstraete(5,782)",Somersby Apple Cider,07-Jun-13,0.9,2,1,2,1,3
197,"pintbypint(4,303)",Somersby Apple Cider,06-May-13,3.0,6,3,6,3,12
199,"cards04(3,161)",Somersby Apple Cider,25-Apr-13,2.1,4,2,4,3,8
201,"Capa(4,051)",Somersby Apple Cider,07-Apr-13,2.7,5,3,6,2,11
202,"bierkoning(18,267)",Somersby Apple Cider,05-Apr-13,2.5,6,2,6,2,9
203,"rosenbergh(14,039)",Somersby Apple Cider,29-Mar-13,2.1,5,2,4,2,8
204,"Countbeer(6,587)",Somersby Apple Cider,17-Mar-13,1.9,4,2,5,2,6
207,"Linnet(2,246)",Somersby Apple Cider,02-Mar-13,2.2,4,2,4,3,9
208,"pkbites(1,323)",Somersby Apple Cider,12-Feb-13,3.4,8,3,8,4,11
209,"worldbeertaste(1,845)",Somersby Apple Cider,06-Feb-13,2.0,6,1,4,2,7
211,"OleR(4,799)",Somersby Apple Cider,18-Jan-13,1.0,2,2,2,2,2
212,"Nekronos(4,628)",Somersby Apple Cider,11-Jan-13,3.3,6,3,6,3,15
213,"mabel(11,183)",Somersby Apple Cider,31-Dec-12,3.2,6,3,7,3,13
214,"ALLOVATE(3,559)",Somersby Apple Cider,28-Dec-12,1.6,4,1,4,1,6
215,"Bygers(1,187)",Somersby Apple Cider,24-Dec-12,2.3,4,2,5,2,10
216,"jercraigs(13,472)",Somersby Apple Cider,13-Dec-12,3.1,6,3,6,4,12
217,"nuplastikk(7,752)",Somersby Apple Cider,09-Dec-12,1.8,6,2,5,2,3
218,"Metalchopz(5,420)",Somersby Apple Cider,27-Nov-12,3.1,7,2,6,3,13
220,"northropfrye(4,283)",Somersby Apple Cider,15-Nov-12,2.7,6,3,5,3,10
221,"Bamsen78(7,276)",Somersby Apple Cider,09-Nov-12,1.7,2,4,5,1,5
223,"maneliquor(3,513)",Somersby Apple Cider,09-Nov-12,2.7,4,3,5,3,12
224,"Ontbeertaster(2,360)",Somersby Apple Cider,05-Nov-12,3.6,7,5,8,2,14
225,"Boutip(8,129)",Somersby Apple Cider,29-Oct-12,3.0,6,3,6,2,13
226,"Ruprecht_007(1,087)",Somersby Apple Cider,18-Oct-12,2.7,7,3,5,3,9
227,"BVery(13,633)",Somersby Apple Cider,29-Dec-13,2.8,7,2,6,2,11
228,"MaartenRF10(1,956)",Somersby Apple Cider,09-Oct-12,2.5,4,3,5,2,11
229,"robinvboyer(6,301)",Somersby Apple Cider,05-Oct-12,1.6,3,2,3,2,6
231,"HogTownHarry(8,906)",Somersby Apple Cider,11-Sep-12,2.6,6,2,5,2,11
232,"Nightfall(1,313)",Somersby Apple Cider,07-Sep-12,2.2,4,2,5,2,9
234,"Benzai(20,022)",Somersby Apple Cider,04-Sep-12,2.0,4,3,3,2,8
235,"JK(7,129)",Somersby Apple Cider,26-Aug-12,1.0,2,1,2,1,4
236,"DeanF(8,320)",Somersby Apple Cider,25-Aug-12,2.4,5,2,4,2,11
237,"AndySnow(12,022)",Somersby Apple Cider,23-Aug-12,1.8,3,2,3,2,8
238,"Lubiere(18,810)",Somersby Apple Cider,14-Aug-12,2.8,6,2,6,2,12
239,"Beerheart65(1,503)",Somersby Apple Cider,23-Jul-12,2.9,4,3,6,2,14
240,Bathory(456),Somersby Apple Cider,19-Jul-12,2.5,4,3,5,3,10
241,"Marduk(14,656)",Somersby Apple Cider,07-Jul-12,2.0,4,2,5,2,7
243,"DuffMan(10,981)",Somersby Apple Cider,26-Jun-12,2.0,4,2,4,2,8
244,"rok1024(1,416)",Somersby Apple Cider,26-Jun-12,2.2,4,3,5,3,7
245,"Gerbeer(5,627)",Somersby Apple Cider,14-Jun-12,2.6,5,4,5,3,9
246,darioklc(934),Somersby Apple Cider,05-Jun-12,2.2,4,3,5,3,7
247,"Sigmund(11,230)",Somersby Apple Cider,04-Jun-12,0.9,2,3,1,1,2
249,"andrepintado(4,000)",Somersby Apple Cider,21-May-12,2.1,4,1,4,2,10
250,"Radek Kliber(7,942)",Somersby Apple Cider,20-May-12,2.2,5,3,4,2,8
251,"Spab(7,527)",Somersby Apple Cider,12-May-12,2.1,4,3,4,2,8
252,"Meilby(13,116)",Somersby Apple Cider,05-May-12,1.9,4,2,4,3,6
253,"luttonm(7,593)",Somersby Apple Cider,04-May-12,2.7,6,2,6,3,10
254,"barncatmatt(2,287)",Somersby Apple Cider,29-Apr-12,3.0,6,2,6,4,12
255,"Grzesiek79(6,146)",Somersby Apple Cider,10-Jan-13,1.3,2,2,3,1,5
256,"zvikar(11,503)",Somersby Apple Cider,06-Apr-12,2.5,6,2,5,2,10
257,"kerenmk(6,889)",Somersby Apple Cider,25-Mar-12,2.1,6,3,5,2,5
258,"tderoeck(14,778)",Somersby Apple Cider,14-Mar-12,1.8,4,2,3,3,6
259,"DSG(21,501)",Somersby Apple Cider,12-Mar-12,2.4,5,2,5,2,10
260,"Cunningham(11,610)",Somersby Apple Cider,01-Mar-12,2.0,4,2,4,2,8
262,"abemorsten(3,797)",Somersby Apple Cider,15-Sep-11,1.5,3,3,2,2,5
263,"thirstyrabbit(2,002)",Somersby Apple Cider,23-Jul-11,1.7,3,1,3,2,8
264,"MrManning(2,009)",Somersby Apple Cider,11-Jul-11,2.9,6,2,6,3,12
266,taunusmies(437),Somersby Apple Cider,15-Feb-11,1.5,3,2,3,2,5
268,"funcut(1,219)",Somersby Apple Cider,20-Oct-10,1.4,3,2,3,2,4
269,"heavy(2,949)",Somersby Apple Cider,20-Jul-10,2.6,5,2,5,3,11
270,"ClubGonzo(5,679)",Somersby Apple Cider,03-Jul-10,1.1,2,2,3,2,2
271,"Marko(10,857)",Somersby Apple Cider,18-Jun-10,1.5,4,2,2,2,5
272,"chrisv10(23,298)",Somersby Apple Cider,13-Jun-10,1.5,4,2,3,2,4
273,"Zita(6,332)",Somersby Apple Cider,30-Jan-10,1.9,4,2,5,2,6
274,"MiP(18,243)",Somersby Apple Cider,31-Dec-09,1.9,4,3,3,3,6
275,"Papsoe(25,043)",Somersby Apple Cider,16-Sep-09,1.6,4,2,3,2,5
276,"BeerBiker(1,414)",Somersby Apple Cider,15-Sep-09,2.0,4,2,4,2,8
277,"joergen(37,064)",Somersby Apple Cider,03-May-09,1.8,3,2,4,2,7
279,"Skinnyviking(11,938)",Somersby Apple Cider,30-Dec-08,2.2,4,3,4,3,8
281,"cheeta(1,181)",Somersby Apple Cider,12-Dec-08,2.2,4,2,5,2,9
282,"Enjoyit(3,807)",Somersby Apple Cider,08-Dec-08,1.9,4,2,4,2,7
283,"RoyceH(1,200)",Somersby Apple Cider,17-Oct-08,2.0,5,3,4,3,5
284,"fiulijn(26,554)",Somersby Apple Cider,14-Oct-08,2.3,5,2,5,2,9
285,"Pinball(13,379)",Somersby Apple Cider,10-Oct-08,2.3,5,2,5,2,9
286,"oh6gdx(26,485)",Somersby Apple Cider,26-Sep-08,1.9,4,2,4,2,7
290,"gunnfryd(18,538)",Somersby Apple Cider,01-Sep-08,1.4,2,2,2,2,6
291,"thewolf(13,753)",Somersby Apple Cider,31-Aug-08,2.3,5,2,6,2,8
292,"saxo(25,133)",Somersby Apple Cider,30-Aug-08,1.9,4,1,4,2,8
293,"turbothy(1,140)",Somersby Apple Cider,19-Aug-08,2.0,6,2,4,2,6
294,"larsga(7,693)",Somersby Apple Cider,16-Aug-08,1.7,5,2,3,2,5
295,"Hansen(8,769)",Somersby Apple Cider,15-Aug-08,1.7,3,2,3,2,7
296,"PropTop4782(2,114)",Somersby Apple Cider,11-Aug-08,2.2,4,3,4,3,8
297,"sunevdj(4,228)",Somersby Apple Cider,23-Aug-08,1.9,3,2,4,2,8
298,"KasperFoged(1,561)",Somersby Apple Cider,28-Jul-08,2.2,4,2,4,3,9
299,"EHSRanders(2,267)",Somersby Apple Cider,13-Jul-08,2.3,4,2,5,3,9
301,"yngwie(19,613)",Somersby Apple Cider,24-Jun-08,1.3,2,2,2,2,5
302,"trapez(1,561)",Somersby Apple Cider,20-Jun-08,2.7,5,3,5,3,11
304,"tarjei(1,952)",Somersby Apple Cider,26-May-08,1.6,4,2,3,2,5
305,"Storm(2,684)",Somersby Apple Cider,24-May-08,2.4,4,3,5,2,10
307,"Borup(21,218)",Somersby Apple Cider,14-May-08,2.2,5,2,5,2,8
308,"charlotte(7,201)",Somersby Apple Cider,11-May-08,2.6,6,3,5,3,9
309,"ThomasE(5,173)",Somersby Apple Cider,08-May-08,2.0,4,3,3,3,7
310,"Grovlam(4,259)",Somersby Apple Cider,05-May-08,2.3,5,3,4,2,9
311,"Plovmand(10,624)",Somersby Apple Cider,04-May-08,2.7,5,2,5,3,12
313,"Dedollewaitor(19,363)",Somersby Apple Cider,24-Apr-08,2.1,4,2,5,2,8
314,"Christian(15,929)",Somersby Apple Cider,31-Jan-17,1.4,2,1,3,3,5
315,"HenrikSoegaard(17,979)",Somersby Apple Cider,21-Apr-08,1.5,3,1,3,2,6
316,"FrankJohansen(3,624)",Somersby Apple Cider,18-Apr-08,2.4,5,2,5,2,10
317,"yespr(54,718)",Somersby Apple Cider,15-Apr-08,2.1,4,2,4,2,9
318,"faroeviking(14,086)",Somersby Apple Cider,15-Apr-08,2.7,6,2,6,2,11
319,"Theis(15,148)",Somersby Apple Cider,15-Apr-08,0.5,1,1,1,1,1
320,"Maria(10,208)",Somersby Apple Cider,15-Apr-08,2.8,6,3,6,3,10
2,"labeerinthum(5,295)",Desperados,26-Apr-21,2.3,6,3,4,2,8
4,"Grumbo(13,093)",Desperados,01-Apr-21,2.1,5,3,4,2,7
5,BitterTamer20(412),Desperados,10-Mar-21,2.3,5,2,5,2,9
6,"deanso(13,868)",Desperados,03-Feb-21,2.0,4,2,4,2,8
8,"daniele(13,060)",Desperados,16-Dec-20,1.9,3,2,4,2,8
11,"Michcio(1,833)",Desperados,25-Oct-20,2.4,4,3,5,2,10
12,"MatiF96(1,137)",Desperados,12-Oct-20,2.2,4,4,4,2,8
13,"borowik(1,132)",Desperados,11-Oct-20,2.0,4,2,4,2,8
15,"PilsnerDoctor32(2,003)",Desperados,03-Sep-20,2.2,5,5,4,1,7
22,"lkowalkowski(1,372)",Desperados,07-May-20,2.2,4,3,4,2,9
26,"kolemkoukolem(2,319)",Desperados,31-Mar-20,1.1,2,2,2,1,4
27,"Bitek(1,291)",Desperados,12-Jan-20,2.3,5,2,4,2,10
32,NobleTeam26(760),Desperados,12-Dec-19,0.5,1,1,1,1,1
33,yerffoeg(710),Desperados,27-Oct-19,1.9,3,2,4,2,8
36,"AnonUser54728(2,851)",Desperados,16-Sep-19,2.6,5,3,5,3,10
38,"Goldbarren(3,899)",Desperados,06-Sep-19,2.8,6,4,4,3,11
40,"vinivini(6,679)",Desperados,29-Aug-19,2.5,5,5,4,3,8
42,"sjogro(9,251)",Desperados,20-Aug-19,1.8,4,2,4,1,7
43,CiderChamp44(352),Desperados,19-Aug-19,2.2,5,1,4,2,10
44,BojanM(313),Desperados,09-Aug-19,1.2,3,3,2,1,3
45,BarrelMonger107(257),Desperados,22-Oct-19,3.7,7,5,7,4,14
46,Mpuntmuts(669),Desperados,19-Jul-19,2.4,5,3,4,3,9
49,Radubrew(228),Desperados,03-Jul-19,1.0,1,1,2,1,5
50,"Fules(1,865)",Desperados,01-Jul-19,0.9,2,3,1,1,2
52,"biilz(1,382)",Desperados,12-Jun-19,2.9,7,2,6,3,11
54,as1999(407),Desperados,30-May-19,2.4,7,2,6,2,7
55,"maupie(2,662)",Desperados,28-May-19,3.1,7,3,6,3,12
58,"biir(2,879)",Desperados,15-May-19,2.1,5,2,4,2,8
61,"dantomlinson(1,455)",Desperados,20-Apr-19,2.0,4,3,4,3,6
63,"maciejgmaciej(2,311)",Desperados,05-Apr-19,2.8,5,3,6,2,12
69,"MetalMurphy(1,419)",Desperados,17-Feb-19,2.0,5,2,5,2,6
70,mkcmagico(996),Desperados,09-May-21,2.0,4,1,4,2,9
76,"sparta(2,460)",Desperados,13-Nov-18,2.1,4,2,4,2,9
81,"FlightLees22(1,480)",Desperados,25-Oct-18,2.0,4,2,4,2,8
83,"DraftPours23(2,293)",Desperados,23-Sep-18,1.6,3,3,2,2,6
84,Demens(766),Desperados,22-Sep-18,0.7,2,2,1,1,1
85,"franclh(3,853)",Desperados,19-Aug-18,0.8,1,2,1,2,2
90,hehe_papiesz_xd(258),Desperados,14-Jul-18,1.9,4,3,3,3,6
94,"Martinus(5,017)",Desperados,22-Jun-18,1.9,4,1,4,2,8
96,Flag08(458),Desperados,12-Jun-18,1.4,3,2,3,2,4
99,"Grisza77(1,707)",Desperados,06-May-18,2.1,4,4,4,1,8
100,"motthes(1,316)",Desperados,24-Apr-18,1.0,2,2,2,2,2
103,"z87(2,777)",Desperados,01-Dec-19,1.7,3,2,3,2,7
107,"ttppk197(2,870)",Desperados,09-Feb-18,1.7,2,2,4,2,7
109,"Towey1989(5,546)",Desperados,04-Feb-18,2.1,3,4,2,3,9
110,"bergstaden(5,962)",Desperados,29-Jan-18,2.2,4,3,4,3,8
111,"BeardedAvenger(4,498)",Desperados,20-Jan-18,1.5,4,3,5,2,1
114,"caketm(3,633)",Desperados,17-Jan-19,1.5,3,1,3,2,6
116,"bilcho1(1,442)",Desperados,19-Dec-17,1.2,3,2,2,1,4
119,deepdrinker(384),Desperados,02-Dec-17,0.7,1,1,1,1,3
121,dzenkalpic(140),Desperados,15-Nov-17,3.6,7,4,7,4,14
125,"Piepenhenrich(2,598)",Desperados,17-Oct-17,2.1,5,2,5,2,7
127,"Zlotta(7,216)",Desperados,12-Oct-17,2.4,4,3,5,3,9
129,"jjsint(5,753)",Desperados,04-Oct-17,2.7,6,3,5,4,9
130,kalunapz(503),Desperados,03-Oct-17,2.5,5,3,5,3,9
132,"Salian(1,308)",Desperados,10-Feb-20,1.2,3,2,3,1,3
